iter	Passed	Remaining
0	57	57546
1	66	33238
2	72	24132
3	84	21014
4	94	18738
5	100	16637
6	106	15102
7	114	14207
8	122	13488
9	127	12648
10	133	12021
11	143	11784
12	150	11434
13	159	11200
14	169	11118
15	178	11005
16	187	10817
17	194	10632
18	203	10484
19	212	10394
20	219	10236
21	225	10024
22	232	9872
23	240	9770
24	248	9674
25	255	9572
26	263	9491
27	271	9436
28	279	9359
29	286	9277
30	295	9238
31	302	9139
32	310	9089
33	317	9018
34	326	9007
35	334	8950
36	342	8902
37	348	8834
38	357	8806
39	364	8751
40	371	8690
41	379	8649
42	385	8590
43	392	8529
44	399	8488
45	406	8430
46	413	8375
47	419	8329
48	425	8254
49	433	8228
50	438	8153
51	446	8131
52	453	8094
53	461	8078
54	466	8011
55	473	7983
56	480	7953
57	489	7947
58	497	7927
59	504	7905
60	511	7881
61	519	7855
62	526	7832
63	533	7797
64	540	7779
65	547	7750
66	554	7719
67	560	7685
68	567	7660
69	574	7639
70	582	7617
71	589	7600
72	597	7581
73	604	7561
74	611	7537
75	617	7510
76	624	7485
77	631	7467
78	638	7440
79	643	7397
80	650	7382
81	659	7377
82	666	7368
83	674	7354
84	682	7347
85	687	7304
86	694	7283
87	701	7274
88	710	7269
89	717	7254
90	724	7241
91	732	7233
92	740	7219
93	746	7198
94	753	7182
95	761	7166
96	768	7155
97	776	7143
98	784	7135
99	791	7124
100	798	7108
101	806	7096
102	814	7090
103	823	7091
104	830	7079
105	838	7073
106	846	7060
107	853	7047
108	860	7034
109	867	7022
110	875	7008
111	879	6975
112	887	6966
113	894	6955
114	902	6945
115	910	6935
116	917	6923
117	925	6916
118	933	6911
119	940	6897
120	947	6882
121	955	6873
122	962	6860
123	969	6850
124	976	6837
125	983	6823
126	991	6813
127	997	6796
128	1005	6790
129	1013	6781
130	1020	6768
131	1027	6757
132	1034	6746
133	1041	6730
134	1048	6718
135	1055	6706
136	1062	6695
137	1070	6687
138	1077	6675
139	1085	6666
140	1092	6656
141	1100	6648
142	1107	6639
143	1115	6632
144	1123	6623
145	1131	6616
146	1139	6610
147	1147	6605
148	1155	6600
149	1163	6593
150	1172	6591
151	1180	6587
152	1188	6577
153	1195	6568
154	1202	6556
155	1209	6546
156	1217	6538
157	1225	6532
158	1232	6521
159	1240	6512
160	1247	6502
161	1254	6489
162	1261	6479
163	1268	6467
164	1276	6458
165	1283	6450
166	1291	6441
167	1298	6431
168	1306	6422
169	1312	6409
170	1320	6401
171	1327	6390
172	1334	6380
173	1340	6362
174	1348	6357
175	1356	6349
176	1363	6339
177	1371	6331
178	1377	6319
179	1385	6313
180	1393	6303
181	1400	6295
182	1408	6288
183	1415	6276
184	1422	6267
185	1429	6257
186	1437	6249
187	1444	6240
188	1452	6230
189	1459	6223
190	1467	6217
191	1475	6208
192	1482	6199
193	1490	6190
194	1497	6181
195	1505	6175
196	1512	6167
